model,prompt,Accuracy,Precision,TPR,TNR,$F_{1}$,$F_{2}$,BAC
Mistral,Base,0.7891,0.1792,0.1939,0.8737,0.1863,0.1908,0.5338
Mixtral,Base,0.5006,0.1349,0.5561,0.4927,0.2171,0.3423,0.5244
Llama 2,Base,0.2719,0.1374,0.9184,0.18,0.239,0.4298,0.5492
Mistral,SensCat,0.8653,0.4216,0.2194,0.9572,0.2886,0.2427,0.5883
Mixtral,SensCat,0.5299,0.1699,0.7143,0.5036,0.2745,0.4353,0.609
Llama 2,SensCat,0.5299,0.1699,0.7143,0.5036,0.2745,0.4353,0.609
Mistral,SensCat+NonSensCat,0.8564,0.4038,0.3214,0.9325,0.358,0.3351,0.627
Mixtral,SensCat+NonSensCat,0.5616,0.1873,0.7551,0.5341,0.3002,0.4701,0.6446
Llama 2,SensCat+NonSensCat,0.6296,0.167,0.4949,0.6488,0.2497,0.3553,0.5718
Mistral,Base+SensDesc,0.7827,0.2148,0.2806,0.8541,0.2434,0.2644,0.5674
Mixtral,Base+SensDesc,0.5394,0.1411,0.5306,0.5406,0.2229,0.3419,0.5356
Llama 2,Base+SensDesc,0.2605,0.135,0.9133,0.1676,0.2352,0.4242,0.5404
Mistral,SensCat+SensDesc,0.8653,0.4467,0.3418,0.9398,0.3873,0.3587,0.6408
Mixtral,SensCat+SensDesc,0.6436,0.1973,0.6071,0.6488,0.2979,0.429,0.628
Llama 2,SensCat+SensDesc,0.5273,0.1667,0.699,0.5029,0.2692,0.4265,0.6009
Mistral,SensCat+NonSensCat+SensDesc,0.8571,0.4249,0.4184,0.9194,0.4216,0.4197,0.6689
Mixtral,SensCat+NonSensCat+SensDesc,0.6404,0.21,0.6837,0.6343,0.3213,0.4712,0.659
Llama 2,SensCat+NonSensCat+SensDesc,0.5521,0.146,0.5357,0.5544,0.2295,0.3493,0.5451
Mistral,Base+FS,0.852,0.3609,0.2449,0.9383,0.2918,0.2617,0.5916
Mixtral,Base+FS,0.8259,0.2926,0.2806,0.9035,0.2865,0.2829,0.592
Llama 2,Base+FS,0.8564,0.2222,0.0612,0.9695,0.096,0.0716,0.5154
Mistral,SensCat+FS,0.8405,0.3799,0.4439,0.897,0.4094,0.4294,0.6704
Mixtral,SensCat+FS,0.864,0.4392,0.3316,0.9398,0.3779,0.3487,0.6357
Llama 2,SensCat+FS,0.8634,0.3908,0.1735,0.9615,0.2403,0.1952,0.5675
Mistral,SensCat+NonSensCat+FS,0.8437,0.3821,0.4133,0.9049,0.3971,0.4066,0.6591
Mixtral,SensCat+NonSensCat+FS,0.8736,0.4835,0.2245,0.9659,0.3066,0.2514,0.5952
Llama 2,SensCat+NonSensCat+FS,0.8717,0.4605,0.1786,0.9702,0.2574,0.2035,0.5744
Mistral,Base+SensDesc+FS,0.8374,0.3469,0.3469,0.9071,0.3469,0.3469,0.627
Mixtral,Base+SensDesc+FS,0.8602,0.2931,0.0867,0.9702,0.1339,0.101,0.5285
Llama 2,Base+SensDesc+FS,0.8488,0.1613,0.051,0.9623,0.0775,0.0591,0.5066
Mistral,SensCat+SensDesc+FS,0.8259,0.3545,0.4847,0.8745,0.4095,0.4515,0.6796
Mixtral,SensCat+SensDesc+FS,0.871,0.4667,0.25,0.9594,0.3256,0.2756,0.6047
Llama 2,SensCat+SensDesc+FS,0.8532,0.3267,0.1684,0.9507,0.2222,0.1864,0.5595
Mistral,SensCat+NonSensCat+SensDesc+FS,0.8342,0.3663,0.4541,0.8882,0.4055,0.4333,0.6712
Mixtral,SensCat+NonSensCat+SensDesc+FS,0.8761,0.5079,0.1633,0.9775,0.2471,0.1889,0.5704
Llama 2,SensCat+NonSensCat+SensDesc+FS,0.8494,0.3566,0.2602,0.9332,0.3009,0.2751,0.5967
Mistral,SensCat+NonSensCat+SensDesc+CoT,0.5667,0.1373,0.4694,0.5806,0.2125,0.3164,0.525
Mixtral,SensCat+NonSensCat+SensDesc+CoT,0.7395,0.1677,0.2755,0.8055,0.2085,0.2441,0.5405
Llama 2,SensCat+NonSensCat+SensDesc+CoT,0.3259,0.1236,0.7245,0.2692,0.2112,0.3673,0.4969
