model,prompt,Accuracy,Precision,Recall,TPR,TNR,$F_{1}$,$F_{2}$,BAC,auROC
Mistral,base,0.7825,0.1782,0.1914,0.1914,0.8698,0.1845,0.1886,0.5306,0.5306
Mistral,sens_cats,0.8627,0.4337,0.2222,0.2222,0.9572,0.2939,0.2462,0.5897,0.5897
Mistral,all_cats,0.8532,0.4109,0.3272,0.3272,0.9308,0.3643,0.3411,0.629,0.629
Mistral,base_sens,0.7786,0.2174,0.2778,0.2778,0.8525,0.2439,0.2632,0.5651,0.5651
Mistral,sens_cats_sens,0.8651,0.4667,0.3457,0.3457,0.9417,0.3972,0.3646,0.6437,0.6437
Mistral,all_cats_sens,0.8532,0.4268,0.4136,0.4136,0.918,0.4201,0.4161,0.6658,0.6658
Mistral,base_few,0.846,0.3596,0.2531,0.2531,0.9335,0.2971,0.269,0.5933,0.5933
Mistral,sens_cats_few,0.8373,0.3874,0.4568,0.4568,0.8934,0.4193,0.441,0.6751,0.6751
Mistral,all_cats_few,0.8429,0.3941,0.4136,0.4136,0.9062,0.4036,0.4095,0.6599,0.6599
Mistral,base_sens_few,0.8302,0.3434,0.3519,0.3519,0.9007,0.3476,0.3501,0.6263,0.6263
Mistral,sens_cats_sens_few,0.823,0.362,0.4938,0.4938,0.8716,0.4178,0.4603,0.6827,0.6827
Mistral,all_cats_sens_few,0.8317,0.3724,0.4506,0.4506,0.888,0.4078,0.4325,0.6693,0.6693
Mistral,all_cats_sens_hop1,0.5714,0.1474,0.4877,0.4877,0.5838,0.2264,0.3336,0.5357,0.5357
