,accuracy,precision,recall,f1_score,bal accuracy,f2_score
l27b-meta_b1,0.43478260869565216,0.7342796751446506,0.43478260869565216,0.5238075813993943,0.4023007509349487,0.4567409011582212
l27b-meta_b2,0.4027611044417767,0.7475308843638776,0.4027611044417767,0.4877167771960343,0.4382554945054945,0.41761018025445634
l27b-meta_b3,0.12712895377128955,0.6965959061586197,0.12712895377128955,0.03572305606047192,0.49752859477124184,0.056447686706081655
l27b-meta_b1_2,0.29935794542536115,0.750773515423078,0.29935794542536115,0.3605769871053744,0.45371884922544026,0.29483437809913304
l27b-meta_b2_2,0.34974283614988977,0.7921244506142188,0.34974283614988977,0.41686865348520397,0.5109354156009589,0.3463914981396361
l27b-meta_b3_2,0.19829424307036247,0.7218558521784424,0.19829424307036247,0.20981229148832103,0.4468410044156218,0.1700523330918947
l27b-meta_b1sys,0.3887222555488902,0.7420480145751633,0.3887222555488902,0.4749088552561564,0.4229981470451989,0.40399592091441106
l27b-meta_b2sys,0.33693693693693694,0.745697022934782,0.33693693693693694,0.40942109027976636,0.4467193990220306,0.34041734484406494
l27b-meta_b3sys,0.13003663003663005,0.7254808683380112,0.13003663003663005,0.04680016480154013,0.49591098748261475,0.06243282273410112
l27b-meta_b1_2sys,0.29449838187702265,0.7596675189235247,0.29449838187702265,0.34644749189784524,0.4751978297862599,0.2839921243804739
l27b-meta_b2_2sys,0.28446662507797876,0.7644361315801892,0.28446662507797876,0.32798665178610104,0.48538521913411536,0.26896688211907593
l27b-meta_b3_2sys,0.176930596285435,0.7709345113872039,0.176930596285435,0.14785338739292003,0.49346496106785315,0.12886174671888956
