,accuracy,precision,recall,f1_score,bal accuracy,f2_score
l27b-meta_base_sens,0.6607369758576874,0.7532323771758057,0.6607369758576874,0.7025284299279404,0.42112200467995614,0.676329026991213
l27b-meta_base2_sens,0.5518118245390973,0.7427111014667539,0.5518118245390973,0.6265007387978287,0.396130674492019,0.5766159742514835
l27b-meta_context_b1_sens,0.536848792884371,0.7399041675151652,0.536848792884371,0.6148373746655998,0.38975445040135065,0.5623832831066634
l27b-meta_context_b2_sens,0.4195804195804196,0.7370792326200842,0.4195804195804196,0.5091167195410145,0.40593274346775743,0.4401317683729922
l27b-meta_base_personal,0.7750952986022872,0.7967085000605332,0.7750952986022872,0.7853695807851127,0.5367620923550843,0.7790657259374337
l27b-meta_context_b1_personal,0.8043202033036849,0.7944805574159735,0.8043202033036849,0.7992775258428517,0.5271948402002311,0.8022751301676139
l27b-meta_fixed_fewshot_personal,0.13532401524777637,0.7287254827429729,0.13532401524777637,0.05470792356527904,0.49522748141346523,0.06840295478582427
l27b-meta_base_personal_explanation,0.8036848792884371,0.7884756295908701,0.8036848792884371,0.7958234591600877,0.5137029412635882,0.8004831256550327
l27b-meta_purely_personal,0.7026683608640406,0.8111945400630483,0.7026683608640406,0.7449425761242598,0.580736648795948,0.7158991381426048
l27b-meta_itspersonalgenres,0.7560355781448539,0.7952660165249809,0.7560355781448539,0.7740531533617993,0.5346294541038477,0.7628051747818073
l27b-meta_multi_category_noanseng,0.8646759847522236,0.7722439205545005,0.8646759847522236,0.8130560946488358,0.49601981576375104,0.8431752726763608
