,accuracy,precision,recall,f1_score,bal accuracy,f2_score
mist7b-mist_base_sens,0.7909783989834815,0.7735397820666009,0.7909783989834815,0.782042839712537,0.4823761144515861,0.7873550558250946
mist7b-mist_base2_sens,0.5266836086404066,0.7517800179935533,0.5266836086404066,0.6070580083187407,0.42333609786439974,0.5507776275959576
mist7b-mist_context_b1_sens,0.8456162642947903,0.7783441687049846,0.8456162642947903,0.807800028765977,0.4960753532182104,0.8298237520749911
mist7b-mist_context_b2_sens,0.6200762388818297,0.7560179171951238,0.6200762388818297,0.6772579123216547,0.428534403601789,0.6401421025286607
mist7b-mist_base_personal,0.5248091603053435,0.8156558205457903,0.5248091603053434,0.602290548496198,0.5746885648846434,0.537353275347885
mist7b-mist_context_b1_personal,0.32017823042647997,0.8075334466124212,0.32017823042647997,0.3721141825416606,0.5304915772212284,0.3064924644669065
mist7b-mist_fixed_fewshot_personal,0.2795425667090216,0.8176667752552101,0.2795425667090216,0.31055537209494405,0.5338297147596339,0.25439331501046164
mist7b-mist_base_personal_explanation,0.3590070019096117,0.8067485652770328,0.3590070019096117,0.42370858275878315,0.5350514311270125,0.3532557344974541
mist7b-mist_purely_personal,0.6384915474642393,0.8180121827313405,0.6384915474642392,0.6991543152410528,0.5925698891144775,0.653833788121574
mist7b-mist_itspersonalgenres,0.7566709021601017,0.8221897751210815,0.7566709021601017,0.7836750316060973,0.6093902727999763,0.7657371872153309
mist7b-mist_multi_category_noanseng,0.7191867852604829,0.8185783276334014,0.7191867852604829,0.7578222957761308,0.6011114895885785,0.7312131289958878
mist7b-mist_multi_category,0.6861499364675985,0.8240105537757182,0.6861499364675985,0.7353455347543895,0.6150662006457155,0.6996081454438555
mist7b-mist_base_classify,0.7113795295613478,0.7754893544998532,0.7113795295613478,0.740467443411782,0.4828950098557942,0.7222086005826914
