,accuracy,precision,recall,f1_score,bal accuracy,f2_score
mixt-4bit_base_sens,0.7935196950444727,0.765943078522494,0.7935196950444727,0.7793268316493552,0.4685102633215841,0.7877505080808107
mixt-4bit_base2_sens,0.7465057179161372,0.7681246333817137,0.7465057179161372,0.7570258525201692,0.46572968810165577,0.7506413619453541
mixt-4bit_context_b1_sens,0.8011435832274459,0.7712473396175967,0.8011435832274459,0.7856111044115043,0.47942892686828,0.7948024649029829
mixt-4bit_context_b2_sens,0.6836086404066074,0.7675077139918566,0.6836086404066074,0.7210618647933594,0.4604425224371316,0.6973826426322145
mixt-4bit_base_personal,0.7712833545108005,0.8086962497789975,0.7712833545108005,0.7881748312766867,0.5695958354314149,0.7775342538284037
mixt-4bit_context_b1_personal,0.8316391359593392,0.800842949411352,0.8316391359593392,0.8145474816101446,0.5340444595835432,0.8244807033445776
mixt-4bit_fixed_fewshot_personal,0.6963151207115629,0.8276035390595329,0.6963151207115629,0.7432581704054468,0.6252480672965848,0.7091587601125937
mixt-4bit_base_personal_explanation,0.8163913595933926,0.8059080883147969,0.8163913595933926,0.8109629408622896,0.551594295192678,0.8141780447780709
mixt-4bit_purely_personal,0.8542329726288987,0.8086933696245546,0.8542329726288987,0.8257368331412054,0.5337896517904603,0.8420160135317429
mixt-4bit_itspersonalgenres,0.8157560355781448,0.8384881957713836,0.8157560355781448,0.825934424805121,0.6431348301294393,0.8195012738679405
mixt-4bit_multi_category_noanseng,0.7399872854418309,0.8354799621331118,0.7399872854418309,0.7756732710973737,0.6480129088672506,0.7504273427435624
mixt-4bit_multi_category,0.6848792884371029,0.8312184604428403,0.6848792884371029,0.7352801076341728,0.634034092592044,0.697788052740588
