,accuracy,precision,recall,f1_score,bal accuracy,f2_score
mist7b-mist_b1,0.6788059701492537,0.7668204432383536,0.6788059701492537,0.7178643707066418,0.45958471771640436,0.6930986952760437
mist7b-mist_b2,0.6710447761194029,0.777220469981967,0.6710447761194029,0.7159049980547296,0.48797137019654435,0.686672558520821
mist7b-mist_b3,0.6440071556350626,0.7648250883783604,0.6440071556350626,0.6950210889010295,0.4558233518356217,0.6618675039204757
mist7b-mist_b1_2,0.8293413173652695,0.7857723362788436,0.8293413173652695,0.8051776024457855,0.508969341161122,0.8192457750791483
mist7b-mist_b2_2,0.8241626794258373,0.7802409213593424,0.8241626794258373,0.8002559277867581,0.4998176014591883,0.8142325957013786
mist7b-mist_b3_2,0.6322624743677375,0.7644175755304016,0.6322624743677375,0.6865618648902876,0.4632286693443134,0.6507584330275743
mist7b-mist_b1sys,0.6786140979689367,0.7648836795436826,0.6786140979689367,0.7170352996806468,0.4573185011709602,0.6927211484245545
mist7b-mist_b2sys,0.7216248506571087,0.7699315884170959,0.7216248506571087,0.7442334480901357,0.4697160213596355,0.7302631411805207
mist7b-mist_b3sys,0.6579261025029798,0.7618737960975418,0.6579261025029798,0.7032902694918112,0.4474341507720254,0.6743125859475325
mist7b-mist_b1_2sys,0.8309438470728794,0.7790110301779267,0.8309438470728794,0.8025570132979538,0.4950480113338231,0.8191472966445712
mist7b-mist_b2_2sys,0.8088675853804673,0.7772004786123868,0.8088675853804673,0.7921795187027953,0.49307694828603266,0.8020132483886243
